Distance (m),Longitude,Latitude,Elevation (m)
0,-124.7546928,45.91942425,0
151.3149108,-124.7526093,45.91950762,0
302.6298216,-124.7505259,45.91959099,0
453.9447324,-124.7484424,45.91967437,0
605.2596432,-124.746359,45.91975774,0
756.574554,-124.7442755,45.91984111,0
907.8894648,-124.742192,45.91992448,0
1059.204376,-124.7401086,45.92000785,0
1210.519286,-124.7380251,45.92009122,0
1361.834197,-124.7359417,45.9201746,0
1513.149108,-124.7338582,45.92025797,0
1664.464019,-124.7317748,45.92034134,0
1815.77893,-124.7296913,45.92042471,0
1967.09384,-124.7276078,45.92050808,0
2118.408751,-124.7255244,45.92059146,0
2269.723662,-124.7234409,45.92067483,0
2421.038573,-124.7213575,45.9207582,0
2572.353484,-124.719274,45.92084157,0
2723.668394,-124.7171905,45.92092494,0
2874.983305,-124.7151071,45.92100831,0
3026.298216,-124.7130236,45.92109169,0
3177.613127,-124.7109402,45.92117506,0
3328.928038,-124.7088567,45.92125843,0
3480.242948,-124.7067732,45.9213418,0
3631.557859,-124.7046898,45.92142517,0
3782.87277,-124.7026063,45.92150855,0
3934.187681,-124.7005229,45.92159192,0
4085.502592,-124.6984394,45.92167529,0
4236.817503,-124.6963559,45.92175866,0
4388.132413,-124.6942725,45.92184203,0
4539.447324,-124.692189,45.9219254,0
4690.762235,-124.6901056,45.92200878,0
4842.077146,-124.6880221,45.92209215,0
4993.392057,-124.6859386,45.92217552,0
5144.706967,-124.6838552,45.92225889,0
5296.021878,-124.6817717,45.92234226,0
5447.336789,-124.6796883,45.92242563,0
5598.6517,-124.6776048,45.92250901,0
5749.966611,-124.6755214,45.92259238,0
5901.281521,-124.6734379,45.92267575,0
6052.596432,-124.6713544,45.92275912,0
6203.911343,-124.669271,45.92284249,0
6355.226254,-124.6671875,45.92292587,0
6506.541165,-124.6651041,45.92300924,0
6657.856075,-124.6630206,45.92309261,0
6809.170986,-124.6609371,45.92317598,0
6960.485897,-124.6588537,45.92325935,0
7111.800808,-124.6567702,45.92334272,0
7263.115719,-124.6546868,45.9234261,0
7414.430629,-124.6526033,45.92350947,0
7565.74554,-124.6505198,45.92359284,0
7717.060451,-124.6484364,45.92367621,0
7868.375362,-124.6463529,45.92375958,0
8019.690273,-124.6442695,45.92384296,0
8171.005183,-124.642186,45.92392633,0
8322.320094,-124.6401025,45.9240097,0
8473.635005,-124.6380191,45.92409307,0
8624.949916,-124.6359356,45.92417644,0
8776.264827,-124.6338522,45.92425981,0
8927.579737,-124.6317687,45.92434319,0
9078.894648,-124.6296852,45.92442656,0
9230.209559,-124.6276018,45.92450993,0
9381.52447,-124.6255183,45.9245933,0
9532.839381,-124.6234349,45.92467667,0
9684.154291,-124.6213514,45.92476004,0
9835.469202,-124.619268,45.92484342,0
9986.784113,-124.6171845,45.92492679,0
10138.09902,-124.615101,45.92501016,0
10289.41393,-124.6130176,45.92509353,0
10440.72885,-124.6109341,45.9251769,0
10592.04376,-124.6088507,45.92526028,0
10743.35867,-124.6067672,45.92534365,0
10894.67358,-124.6046837,45.92542702,0
11045.98849,-124.6026003,45.92551039,0
11197.3034,-124.6005168,45.92559376,0
11348.61831,-124.5984334,45.92567713,0
11499.93322,-124.5963499,45.92576051,0
11651.24813,-124.5942664,45.92584388,0
11802.56304,-124.592183,45.92592725,0
11953.87795,-124.5900995,45.92601062,0
12105.19286,-124.5880161,45.92609399,0
12256.50778,-124.5859326,45.92617737,0
12407.82269,-124.5838491,45.92626074,0
12559.1376,-124.5817657,45.92634411,0
12710.45251,-124.5796822,45.92642748,0
12861.76742,-124.5775988,45.92651085,0
13013.08233,-124.5755153,45.92659422,0
13164.39724,-124.5734318,45.9266776,0
13315.71215,-124.5713484,45.92676097,0
